lat,lon,blue,green,red,nir,swir1,swir2,ndvi,evi,savi,ndmi,nbr,elevation,slope,n_images,agbd_tonnes_per_ha
-18.21318226074746,12.769656566721002,1416.0,1910.75,2551.333333333333,2901.0,3767.0,3380.0,0.0705339461565017,0.1269411947557673,0.105792205652138,-0.1141108125448226,-0.0611596219241619,914,6.767080783843994,95,4.505998
-18.186341154945804,12.791608703485425,1252.0,1733.3333333333333,2294.0,2668.5,3782.0,3527.0,0.0742901563644409,0.127493378728064,0.1114244044725328,-0.15909343957901,-0.1219041496515274,921,2.926229238510132,95,1.1715966
-18.155808766192944,12.816526179312396,903.5,1395.25,2384.5,2981.75,4200.5,3752.25,0.1108177527785301,0.1424102821150028,0.1662113072822888,-0.1683968007564544,-0.1141230911016464,921,4.032743453979492,154,1.2284364
-18.151735850467187,12.819844065306317,1289.5,1830.0,2694.25,3168.0,4088.0,3594.0,0.0797691121697425,0.1177601560143955,0.1196443009949238,-0.1216457933187484,-0.0584424100816249,914,3.8304967880249023,154,1.630395
-18.12606670216248,12.840726788711722,936.5555555555557,1573.84,2982.333333333333,3685.4545454545455,5647.380952380952,5745.55,0.1019523963332176,0.118815101344339,0.1534369456233879,-0.2082925140857696,-0.2173824161291122,906,2.1599764823913574,211,1.3916254
-18.118326105281817,12.84702600930265,1044.0,1545.0,2374.133333333333,2904.4,4588.8421052631575,4654.473684210527,0.0949331074953079,0.1354039725526363,0.1426804908208884,-0.2214898765087127,-0.2294078320264816,914,2.9250919818878174,211,1.9596764
-18.11302857931155,12.851340438361762,947.421052631579,1487.2941176470588,2611.0,3306.0,5021.0,4645.5,0.1163415610790252,0.1373210009407629,0.1739927820110204,-0.2076863646507263,-0.1670325398445129,914,4.31357479095459,211,1.3311168
-18.1126211229602,12.851672417896962,910.96,1454.9655172413793,2632.0,3374.25,5067.0,4787.5,0.1283370852470398,0.1598587070295677,0.1921552827283287,-0.2060223668813705,-0.1726071834564209,916,6.700771808624268,211,1.81738
-18.109363003914304,12.854328210690252,667.5,1188.3636363636365,2745.8,3613.3333333333335,5510.142857142857,5206.666666666667,0.1372377574443817,0.1458320152088738,0.2055931532587654,-0.2076094895601272,-0.1819912195205688,918,2.159808874130249,212,1.4534664
-18.105698210067164,12.857316192098615,726.25,1276.8,2666.25,3529.2,5187.25,5125.666666666667,0.1392463743686676,0.1567588302748323,0.2086604226482125,-0.1995739191770553,-0.1890704333782196,922,2.095052719116211,212,1.1715966
-18.10244114834913,12.859972047583842,965.6666666666666,1607.157894736842,2820.0,3546.6666666666665,5286.0,5209.0,0.1149046942591667,0.139681776282329,0.1724636531892956,-0.19468455016613,-0.1899581551551818,922,3.0678534507751465,212,3.8231082
-18.100406125172764,12.861631678513898,1158.7272727272727,1836.0,2866.0,3524.6666666666665,5111.875,4987.8,0.1012982651591301,0.1389083696926917,0.1522047654271637,-0.1861249804496765,-0.1703036725521087,927,3.461362838745117,212,1.3311168
-18.098780708914177,12.862958621897375,1223.7142857142858,1704.0,2437.0,3083.0,4436.0,4098.25,0.1198305711150169,0.1975652179706313,0.1799900141316942,-0.1820724308490753,-0.1362071186304092,945,2.095033884048462,212,2.9246318
-18.091857561896564,12.8686009186195,1317.875,1844.4,2709.0,3302.0,4452.5,3794.25,0.0982185825705528,0.1539703485247718,0.1468626082224569,-0.1497518867254257,-0.0708043575286865,944,3.4612457752227783,215,2.7720664
-18.091045187666303,12.869264146974446,1191.142857142857,1733.076923076923,2678.8,3430.6666666666665,4891.5,3953.0,0.1144165098667144,0.1659986361548446,0.17136065161018,-0.1761894524097442,-0.0687692239880561,955,9.982658386230469,215,4.8115215
